Escherichia coli,Klebsiella pneumoniae,Pseudomonas aeruginosa,Ralstonia solanacearum,Lactococcus lactis,Staphylococcus aureus,Salmonella sp.,Acinetobacter baumannii,Streptococcus thermophilus
PQ141284,MW394389,PQ533669,ON170161,MN689509,OQ915374,MH102285,KJ473422,MH892353
ON470621,OK490394,LN610580,ON170042,KY554763,MT724048,KP143762,KU935715,MH937465
OP595146,OP079918,OQ412632,ON170147,OP451943,MZ359091,JN871591,PP799013,FJ965538
KX266452,OR532841,OK638202,ON170317,FJ848883,PQ311674,MK972689,PP841135,MH937493
KX266571,OK490440,ON524869,ON170326,MN689525,MN047438,MK972698,OR180307,MH892383
JF719733,PP889501,ON324181,ON170251,OP323075,PP098623,KP143762,MK257722,MH937477
PP180003,MZ374361,PP992516,OP087422,KX160209,CP062444,HM753714,MZ043613,MH937476
MN850633,MZ428227,LC727698,ON170058,KP793114,OR479082,PP537413,OR180314,MH937473
PP461118,MW524749,PQ790660,ON170030,MF448570,OP263967,OP966774,PP174317,MH937475
OQ174505,MH633486,OR208619,OP087422,PQ582088,LC779550,MK972689,MT344104,MH937501
MT446419,OR532845,KU948710,ON170292,JQ740807,AP008954,ON868915,MN604238,MH973662
OR427838,ON602759,OM782452,ON170276,KF676640,MH401415,MK972709,HQ186308,MH892375
OQ944321,PP848840,MN871475,ON170336,MN689505,OP263967,LC553736,OL743187,MF580763
KX266625,KX845404,PQ287650,ON170065,MN689514,MH384260,MK972717,OL964948,MH937469
MN080711,MG197810,PQ738200,ON170020,MG253653,KP881332,MZ560703,PP798983,MH892366
OQ174500,OR532805,MT613935,ON170213,MN534320,OQ129426,KX171211,PP799039,KY705284
MH550421,OK490442,AP019418,ON170129,KY554763,OR513904,OL502173,OP291336,AY699705
KX266306,MZ318367,OR683407,ON170314,OP451962,OP352123,MK972687,OR192057,KY705290
HM208303,PP889455,OQ338182,MG652450,OQ985164,MW286254,OP265889,OR994999,MF580761
KX266313,MT813142,PQ287640,ON170029,KX379668,PV069679,OP745619,PP798957,KY705278
KX266529,OP114732,MK318076,AB981170,KP793115,OP136134,PP236111,PQ382035,MH937479
MZ501074,MK618657,MN029011,ON170053,MN689516,MK922548,MN161573,MG674163,MF580770
